symb,xymd,open,high,low,clos,diff,rate,gvol
SPI@SPX,20230125,3982.71,4019.55,3949.06,4016.22,-0.73,-0.02,2416051840
SPI@SPX,20230124,4001.74,4023.92,3989.79,4016.95,-2.86,-0.07,2091229710
SPI@SPX,20230123,3978.14,4039.31,3971.64,4019.81,47.2,1.19,2469899900
SPI@SPX,20230120,3909.04,3972.96,3897.86,3972.61,73.76,1.89,2617398550
SPI@SPX,20230119,3911.84,3922.94,3885.54,3898.85,-30.01,-0.76,2465301680
SPI@SPX,20230118,4002.25,4014.16,3926.59,3928.86,-62.11,-1.56,2545980650
SPI@SPX,20230117,3999.28,4015.39,3984.57,3990.97,-8.12,-0.2,2498747930
SPI@SPX,20230113,3960.6,4003.95,3947.67,3999.09,15.92,0.4,2305897850
SPI@SPX,20230112,3977.57,3997.76,3937.56,3983.17,13.56,0.34,2468826680
SPI@SPX,20230111,3932.35,3970.07,3928.54,3969.61,50.36,1.28,2354204880
SPI@SPX,20230110,3888.57,3919.83,3877.29,3919.25,27.16,0.7,2141504910
SPI@SPX,20230109,3910.82,3950.57,3890.42,3892.09,-2.99,-0.08,2500082780
SPI@SPX,20230106,3823.37,3906.19,3809.56,3895.08,86.98,2.28,2468430650
SPI@SPX,20230105,3839.74,3839.74,3802.42,3808.1,-44.87,-1.16,2259316690
SPI@SPX,20230104,3840.36,3873.16,3815.77,3852.97,28.83,0.75,2595164540
SPI@SPX,20230103,3853.29,3878.46,3794.33,3824.14,-15.36,-0.4,2353396980
SPI@SPX,20221230,3829.06,3839.85,3800.34,3839.5,-9.78,-0.25,1706136060
SPI@SPX,20221229,3805.45,3858.19,3805.45,3849.28,66.06,1.75,1735156620
SPI@SPX,20221228,3829.56,3848.32,3780.78,3783.22,-46.03,-1.2,1740055220
SPI@SPX,20221227,3843.34,3846.65,3813.22,3829.25,-15.57,-0.4,1744900170
SPI@SPX,20221223,3815.11,3845.8,3797.01,3844.82,22.43,0.59,1579126770
SPI@SPX,20221222,3853.26,3853.26,3764.49,3822.39,-56.05,-1.45,2365338670
SPI@SPX,20221221,3839.49,3889.82,3839.49,3878.44,56.82,1.49,2148847360
SPI@SPX,20221220,3810.47,3838.24,3795.62,3821.62,3.96,0.1,2209956560
SPI@SPX,20221219,3853.79,3854.86,3800.04,3817.66,-34.7,-0.9,2299211170
SPI@SPX,20221216,3890.91,3890.91,3827.91,3852.36,-43.39,-1.11,5089538350
SPI@SPX,20221215,3958.37,3958.37,3879.45,3895.75,-99.57,-2.49,2703927280
SPI@SPX,20221214,4015.54,4053.76,3965.65,3995.32,-24.33,-0.61,2603890540
SPI@SPX,20221213,4069.38,4100.96,3993.03,4019.65,29.09,0.73,3087952330
SPI@SPX,20221212,3939.29,3990.71,3935.3,3990.56,56.18,1.43,2285904830
SPI@SPX,20221209,3954.17,3977.02,3933.04,3934.38,-29.13,-0.73,2123231340
SPI@SPX,20221208,3947.79,3974.19,3935.83,3963.51,29.59,0.75,2157778240
SPI@SPX,20221207,3933.28,3957.57,3922.68,3933.92,-7.34,-0.19,2263753220
SPI@SPX,20221206,3996.63,4001.51,3918.39,3941.26,-57.58,-1.44,2367140660
SPI@SPX,20221205,4052.02,4052.45,3984.49,3998.84,-72.86,-1.79,2278161210
SPI@SPX,20221202,4040.17,4080.48,4026.63,4071.7,-4.87,-0.12,2076416490
SPI@SPX,20221201,4087.14,4100.51,4050.87,4076.57,-3.54,-0.09,2319414990
SPI@SPX,20221130,3957.18,4080.11,3938.58,4080.11,122.48,3.09,3725030410
SPI@SPX,20221129,3964.19,3976.77,3937.65,3957.63,-6.31,-0.16,1904609130
SPI@SPX,20221128,4005.36,4012.27,3955.77,3963.94,-62.18,-1.54,2097892830
SPI@SPX,20221125,4023.34,4034.02,4020.76,4026.12,-1.14,-0.03,902963980
SPI@SPX,20221123,4000.3,4033.78,3998.66,4027.26,23.68,0.59,1753877150
SPI@SPX,20221122,3965.51,4005.88,3956.88,4003.58,53.64,1.36,1998945070
SPI@SPX,20221121,3956.23,3962.0,3933.34,3949.94,-15.4,-0.39,2113922790
SPI@SPX,20221118,3966.39,3979.89,3935.98,3965.34,18.78,0.48,2236041310
SPI@SPX,20221117,3919.26,3954.33,3906.54,3946.56,-12.23,-0.31,2196879830
SPI@SPX,20221116,3976.82,3983.09,3954.34,3958.79,-32.94,-0.83,2406651150
SPI@SPX,20221115,4006.41,4028.84,3953.17,3991.73,34.48,0.87,2794165100
SPI@SPX,20221114,3977.97,4008.97,3956.4,3957.25,-35.68,-0.89,2615043030
SPI@SPX,20221111,3963.72,4001.48,3944.82,3992.93,36.56,0.92,3032916650
SPI@SPX,20221110,3859.89,3958.33,3859.89,3956.37,207.8,5.54,3357652600
SPI@SPX,20221109,3810.94,3818.2,3744.22,3748.57,-79.54,-2.08,2542782560
SPI@SPX,20221108,3817.02,3859.4,3786.28,3828.11,21.31,0.56,2586669900
SPI@SPX,20221107,3780.71,3813.95,3764.7,3806.8,36.25,0.96,2496452850
SPI@SPX,20221104,3766.98,3796.34,3708.84,3770.55,50.66,1.36,3025947360
SPI@SPX,20221103,3733.25,3750.59,3698.15,3719.89,-39.8,-1.06,2856234720
SPI@SPX,20221102,3852.9,3894.44,3758.68,3759.69,-96.41,-2.5,3113991760
SPI@SPX,20221101,3901.79,3911.79,3843.8,3856.1,-15.88,-0.41,2621979330
SPI@SPX,20221031,3881.85,3893.73,3863.18,3871.98,-29.08,-0.75,2805343390
SPI@SPX,20221028,3808.26,3905.42,3808.26,3901.06,93.76,2.46,2901520060
SPI@SPX,20221027,3834.69,3859.95,3803.79,3807.3,-23.3,-0.61,3065025500
SPI@SPX,20221026,3825.97,3886.15,3824.07,3830.6,-28.51,-0.74,2920633060
SPI@SPX,20221025,3799.44,3862.85,3799.44,3859.11,61.77,1.63,2710890490
SPI@SPX,20221024,3762.01,3810.74,3741.65,3797.34,44.59,1.19,2588908130
SPI@SPX,20221021,3657.1,3757.89,3647.42,3752.75,86.97,2.37,3006076800
SPI@SPX,20221020,3689.05,3736.0,3656.44,3665.78,-29.38,-0.8,2643573610
SPI@SPX,20221019,3703.11,3728.58,3666.51,3695.16,-24.82,-0.67,2398756060
SPI@SPX,20221018,3746.26,3762.79,3686.53,3719.98,42.03,1.14,2663739030
SPI@SPX,20221017,3638.65,3689.73,3638.65,3677.95,94.88,2.65,2581606900
SPI@SPX,20221014,3690.41,3712.0,3579.68,3583.07,-86.84,-2.37,2666728010
SPI@SPX,20221013,3520.37,3685.41,3491.58,3669.91,92.88,2.6,3202991400
SPI@SPX,20221012,3590.83,3608.34,3573.86,3577.03,-11.81,-0.33,2375058760
SPI@SPX,20221011,3595.86,3640.66,3568.45,3588.84,-23.55,-0.65,2731976980
