symb,xymd,open,high,low,clos,diff,rate,gvol
NAS@SOX,20220825,2873.43,2973.13,2873.01,2971.07,104.89,3.66,0
NAS@SOX,20220824,2855.37,2875.3,2833.6,2866.18,1.87,0.07,0
NAS@SOX,20220823,2852.21,2901.89,2849.92,2864.31,20.94,0.74,0
NAS@SOX,20220822,2891.66,2903.04,2833.62,2843.37,-109.97,-3.72,0
NAS@SOX,20220819,2991.87,3008.65,2941.63,2953.34,-84.5,-2.78,0
NAS@SOX,20220818,2974.2,3058.56,2967.14,3037.84,67.72,2.28,0
NAS@SOX,20220817,2999.87,3000.41,2931.86,2970.12,-75.52,-2.48,0
NAS@SOX,20220816,3059.27,3074.61,3013.29,3045.64,-31.69,-1.03,0
NAS@SOX,20220815,3052.86,3084.86,3032.53,3077.33,9.49,0.31,0
NAS@SOX,20220812,2998.76,3072.32,2992.49,3067.84,89.14,2.99,0
NAS@SOX,20220811,3008.49,3067.03,2975.08,2978.7,-10.01,-0.33,0
NAS@SOX,20220810,2942.82,2990.65,2905.44,2988.71,121.81,4.25,0
NAS@SOX,20220809,2928.18,2937.62,2832.6,2866.9,-137.44,-4.57,0
NAS@SOX,20220808,3002.52,3041.16,2961.32,3004.34,-49.05,-1.61,0
NAS@SOX,20220805,3027.87,3077.45,3010.06,3053.39,-28.02,-0.91,0
NAS@SOX,20220804,3041.01,3087.44,3037.95,3081.41,27.95,0.92,0
NAS@SOX,20220803,2972.59,3060.47,2970.51,3053.46,78.71,2.65,0
NAS@SOX,20220802,2951.08,3021.57,2936.43,2974.75,-3.57,-0.12,0
NAS@SOX,20220801,2942.76,3006.73,2929.4,2978.32,11.18,0.38,0
NAS@SOX,20220729,2895.32,2975.33,2892.51,2967.14,22.64,0.77,0
NAS@SOX,20220728,2912.76,2950.25,2853.4,2944.5,33.5,1.15,0
NAS@SOX,20220727,2835.14,2930.63,2822.98,2911.0,132.04,4.75,0
NAS@SOX,20220726,2808.0,2822.76,2771.74,2778.96,-46.07,-1.63,0
NAS@SOX,20220725,2822.23,2827.95,2781.67,2825.03,-17.38,-0.61,0
NAS@SOX,20220722,2904.95,2906.52,2820.23,2842.41,-74.4,-2.55,0
NAS@SOX,20220721,2884.19,2918.23,2845.64,2916.81,43.85,1.53,0
NAS@SOX,20220720,2792.78,2883.52,2777.34,2872.96,69.82,2.49,0
NAS@SOX,20220719,2724.34,2813.77,2717.81,2803.14,123.57,4.61,0
NAS@SOX,20220718,2731.56,2754.96,2665.18,2679.57,-14.2,-0.53,0
NAS@SOX,20220715,2659.01,2694.97,2626.0,2693.77,66.85,2.54,0
NAS@SOX,20220714,2566.74,2636.63,2529.55,2626.92,49.56,1.92,0
NAS@SOX,20220713,2507.85,2594.97,2504.99,2577.36,19.19,0.75,0
